"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Comment[Run Number]"	"Parameter Value[Separation Type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation Column Model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ionization Polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass Analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Raw Data File Name]"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Comment[Data dictionary file]"
"Bsub_168_cells_FLT_Rep1"	"metabolite extraction"	"FLT_BS-A1_Med"	"metabolomics labeling"	"FLT_BS-A1_Med_001"	""	""	""	"metabolomics mass spectrometry"	"36"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa36_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep2"	"metabolite extraction"	"FLT_BS-A2_Med"	"metabolomics labeling"	"FLT_BS-A2_Med_002"	""	""	""	"metabolomics mass spectrometry"	"31"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa31_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep3"	"metabolite extraction"	"FLT_BS-A3_Med"	"metabolomics labeling"	"FLT_BS-A3_Med_003"	""	""	""	"metabolomics mass spectrometry"	"23"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa23_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep4"	"metabolite extraction"	"FLT_BS-A4_Med"	"metabolomics labeling"	"FLT_BS-A4_Med_004"	""	""	""	"metabolomics mass spectrometry"	"2"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa02_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep5"	"metabolite extraction"	"FLT_BS-A5_Med"	"metabolomics labeling"	"FLT_BS-A5_Med_005"	""	""	""	"metabolomics mass spectrometry"	"32"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa32_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep6"	"metabolite extraction"	"FLT_BS-C1_Med"	"metabolomics labeling"	"FLT_BS-C1_Med_006"	""	""	""	"metabolomics mass spectrometry"	"34"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa34_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep7"	"metabolite extraction"	"FLT_BS-C2_Med"	"metabolomics labeling"	"FLT_BS-C2_Med_007"	""	""	""	"metabolomics mass spectrometry"	"27"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa27_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep8"	"metabolite extraction"	"FLT_BS-C3_Med"	"metabolomics labeling"	"FLT_BS-C3_Med_008"	""	""	""	"metabolomics mass spectrometry"	"3"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa03_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep9"	"metabolite extraction"	"FLT_BS-C4_Med"	"metabolomics labeling"	"FLT_BS-C4_Med_009"	""	""	""	"metabolomics mass spectrometry"	"10"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa10_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep1"	"metabolite extraction"	"GC_BS-A1_Med"	"metabolomics labeling"	"GC_BS-A1_Med_010"	""	""	""	"metabolomics mass spectrometry"	"11"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa11_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
