"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Comment[Run Number]"	"Parameter Value[Separation Type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation Column Model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ionization Polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Fragmentation type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Raw Data File name - Positive Ionization]"	"Comment[Raw Data File Name- Negative Ionization]"	"Comment[Raw Spectral Data File- Exchange format (.mzML)]"	"Comment[Raw data file name (mzML)- Positive Ionization]"	"Comment[Raw Data File name (mzML)- Negative Ionization]"	"Protocol REF"	"Normalization Name"	"Data Transformation Name"	"Comment[Peptide Database]"	"Metabolite Assignment File"	"Comment[Data dictionary file]"
"Bsub_168_cells_FLT_Rep1"	"metabolite extraction"	"FLT_BS-A1_Med"	"metabolomics labeling"	"FLT_BS-A1_Med_001"	""	""	""	"metabolomics mass spectrometry"	"67"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"067_posCSH_FLT_BS-A1_Med_001_MX340473.d"	"067_negCSH_FLT_BS-A1_Med_001_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"067_posCSH_FLT_BS-A1_Med_001_MX340473.mzML"	"067_negCSH_FLT_BS-A1_Med_001_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep2"	"metabolite extraction"	"FLT_BS-A2_Med"	"metabolomics labeling"	"FLT_BS-A2_Med_002"	""	""	""	"metabolomics mass spectrometry"	"101"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"101_posCSH_FLT_BS-A2_Med_002_MX340473.d"	"101_negCSH_FLT_BS-A2_Med_002_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"101_posCSH_FLT_BS-A2_Med_002_MX340473.mzML"	"101_negCSH_FLT_BS-A2_Med_002_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep3"	"metabolite extraction"	"FLT_BS-A3_Med"	"metabolomics labeling"	"FLT_BS-A3_Med_003"	""	""	""	"metabolomics mass spectrometry"	"32"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"032_posCSH_FLT_BS-A3_Med_003_MX340473.d"	"032_negCSH_FLT_BS-A3_Med_003_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"032_posCSH_FLT_BS-A3_Med_003_MX340473.mzML"	"032_negCSH_FLT_BS-A3_Med_003_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep4"	"metabolite extraction"	"FLT_BS-A4_Med"	"metabolomics labeling"	"FLT_BS-A4_Med_004"	""	""	""	"metabolomics mass spectrometry"	"38"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"038_posCSH_FLT_BS-A4_Med_004_MX340473.d"	"038_negCSH_FLT_BS-A4_Med_004_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"038_posCSH_FLT_BS-A4_Med_004_MX340473.mzML"	"038_negCSH_FLT_BS-A4_Med_004_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep5"	"metabolite extraction"	"FLT_BS-A5_Med"	"metabolomics labeling"	"FLT_BS-A5_Med_005"	""	""	""	"metabolomics mass spectrometry"	"9"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"009_posCSH_FLT_BS-A5_Med_005_MX340473.d"	"009_negCSH_FLT_BS-A5_Med_005_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"009_posCSH_FLT_BS-A5_Med_005_MX340473.mzML"	"009_negCSH_FLT_BS-A5_Med_005_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep6"	"metabolite extraction"	"FLT_BS-C1_Med"	"metabolomics labeling"	"FLT_BS-C1_Med_006"	""	""	""	"metabolomics mass spectrometry"	"37"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"037_posCSH_FLT_BS-C1_Med_006_MX340473.d"	"037_negCSH_FLT_BS-C1_Med_006_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"037_posCSH_FLT_BS-C1_Med_006_MX340473.mzML"	"037_negCSH_FLT_BS-C1_Med_006_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep7"	"metabolite extraction"	"FLT_BS-C2_Med"	"metabolomics labeling"	"FLT_BS-C2_Med_007"	""	""	""	"metabolomics mass spectrometry"	"19"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"019_posCSH_FLT_BS-C2_Med_007_MX340473.d"	"019_negCSH_FLT_BS-C2_Med_007_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"019_posCSH_FLT_BS-C2_Med_007_MX340473.mzML"	"019_negCSH_FLT_BS-C2_Med_007_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep8"	"metabolite extraction"	"FLT_BS-C3_Med"	"metabolomics labeling"	"FLT_BS-C3_Med_008"	""	""	""	"metabolomics mass spectrometry"	"95"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"095_posCSH_FLT_BS-C3_Med_008_MX340473.d"	"095_negCSH_FLT_BS-C3_Med_008_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"095_posCSH_FLT_BS-C3_Med_008_MX340473.mzML"	"095_negCSH_FLT_BS-C3_Med_008_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep9"	"metabolite extraction"	"FLT_BS-C4_Med"	"metabolomics labeling"	"FLT_BS-C4_Med_009"	""	""	""	"metabolomics mass spectrometry"	"27"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"027_posCSH_FLT_BS-C4_Med_009_MX340473.d"	"027_negCSH_FLT_BS-C4_Med_009_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"027_posCSH_FLT_BS-C4_Med_009_MX340473.mzML"	"027_negCSH_FLT_BS-C4_Med_009_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep1"	"metabolite extraction"	"GC_BS-A1_Med"	"metabolomics labeling"	"GC_BS-A1_Med_010"	""	""	""	"metabolomics mass spectrometry"	"34"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"034_posCSH_GC_BS-A1_Med_010_MX340473.d"	"034_negCSH_GC_BS-A1_Med_010_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"034_posCSH_GC_BS-A1_Med_010_MX340473.mzML"	"034_negCSH_GC_BS-A1_Med_010_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
