"Sample Name"	"Comment[Cells processed based on CFU]"	"Protocol REF"	"Extract Name"	"Comment[Core Facility Sample Name]"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography]"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ionization Polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[dissociation]"	"Parameter Value[detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"Comment[Run Number]"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Raw Spectral Data File Name]"	"Comment[Raw files .mzML file format]"	"Protocol REF"	"Data Transformation Name"	"Comment[Processed Data FIle]"	"Comment[Peptide Spectrum Match FIle]"	"Peptide Assignment File"	"Protein Assignment File"	"Comment[Target Protein Group File]"	"Comment[Byonic Output File .mgf]"	"Comment[Byonic Output File .mzid]"
"Bsub_168_cells_FLT_Rep2"	"4.59E7"	"protein extraction"	"FLT_BS-A2_PRT"	"NASA_PRT_10"	"proteomics labeling"	"FLT_BS-A2_PRT_TMT"	"129N"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S1_F*.raw"	"170623_KC_NASA_MS3TMT_S1_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mzid"
"Bsub_168_cells_FLT_Rep3"	"9.82E7"	"protein extraction"	"FLT_BS-A3_PRT"	"NASA_PRT_13"	"proteomics labeling"	"FLT_BS-A3_PRT_TMT"	"128C"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 2"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S2_F*.raw"	"170623_KC_NASA_MS3TMT_S2_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mzid"
"Bsub_168_cells_FLT_Rep4"	"8.4E7"	"protein extraction"	"FLT_BS-A4_PRT"	"NASA_PRT_15"	"proteomics labeling"	"FLT_BS-A4_PRT_TMT"	"129C"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 2"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S2_F*.raw"	"170623_KC_NASA_MS3TMT_S2_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mzid"
"Bsub_168_cells_FLT_Rep5"	"1.22E8"	"protein extraction"	"FLT_BS-A5_PRT"	"NASA_PRT_11"	"proteomics labeling"	"FLT_BS-A5_PRT_TMT"	"129C"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S1_F*.raw"	"170623_KC_NASA_MS3TMT_S1_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mzid"
"Bsub_168_cells_FLT_Rep6"	"1.15E8"	"protein extraction"	"FLT_BS-C1_PRT"	"NASA_PRT_12"	"proteomics labeling"	"FLT_BS-C1_PRT_TMT"	"130N"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S1_F*.raw"	"170623_KC_NASA_MS3TMT_S1_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mzid"
"Bsub_168_cells_FLT_Rep8"	"9.29E7"	"protein extraction"	"FLT_BS-C3_PRT"	"NASA_PRT_16"	"proteomics labeling"	"FLT_BS-C3_PRT_TMT"	"130N"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 2"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S2_F*.raw"	"170623_KC_NASA_MS3TMT_S2_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mzid"
"Bsub_168_cells_FLT_Rep9"	"1.02E8"	"protein extraction"	"FLT_BS-C4_PRT"	"NASA_PRT_14"	"proteomics labeling"	"FLT_BS-C4_PRT_TMT"	"129N"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 2"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S2_F*.raw"	"170623_KC_NASA_MS3TMT_S2_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mzid"
"Bsub_168_cells_GC_Rep1"	"2.66E7"	"protein extraction"	"GC_BS-A1_PRT"	"NASA_PRT_1"	"proteomics labeling"	"GC_BS-A1_PRT_TMT"	"126"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S1_F*.raw"	"170623_KC_NASA_MS3TMT_S1_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mzid"
"Bsub_168_cells_GC_Rep2"	"3.7E7"	"protein extraction"	"GC_BS-A2_PRT"	"NASA_PRT_2"	"proteomics labeling"	"GC_BS-A2_PRT_TMT"	"127N"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S1_F*.raw"	"170623_KC_NASA_MS3TMT_S1_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mzid"
"Bsub_168_cells_GC_Rep3"	"6.69E7"	"protein extraction"	"GC_BS-A3_PRT"	"NASA_PRT_6"	"proteomics labeling"	"GC_BS-A3_PRT_TMT"	"126"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 2"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S2_F*.raw"	"170623_KC_NASA_MS3TMT_S2_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mzid"
