"Source Name"	"Protocol REF"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Strain]"	"Parameter Value[Growth time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Growth Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample Media Information]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Canister and Position]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spaceflight]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Freezing]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Total CFU Count]"	"Term Source REF"	"Term Accession Number"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Comment[Original Submitted Sample Name]"	"Parameter Value[Sample Storage Method]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Bsu A1F"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"A1"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Frozen"	""	""	"sample processing"	"1.34E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_FLT_Rep1"	"FLT_BS-A1"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu A2F"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"A2"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Frozen"	""	""	"sample processing"	"1.83E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_FLT_Rep2"	"FLT_BS-A2"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu A3F"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"A3"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Frozen"	""	""	"sample processing"	"2.89E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_FLT_Rep3"	"FLT_BS-A3"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu A4F"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"A4"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Frozen"	""	""	"sample processing"	"2.18E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_FLT_Rep4"	"FLT_BS-A4"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu A5F"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"A5"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Frozen"	""	""	"sample processing"	"2.78E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_FLT_Rep5"	"FLT_BS-A5"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu C1F"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"C1"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Frozen"	""	""	"sample processing"	"2.54E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_FLT_Rep6"	"FLT_BS-C1"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu C2F"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"C2"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Frozen"	""	""	"sample processing"	"1.21E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_FLT_Rep7"	"FLT_BS-C2"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu C3F"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"C3"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Frozen"	""	""	"sample processing"	"3.21E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_FLT_Rep8"	"FLT_BS-C3"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu C4F"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"C4"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Frozen"	""	""	"sample processing"	"3.53E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_FLT_Rep9"	"FLT_BS-C4"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu A1G"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"A1"	""	""	"Ground Control"	""	""	"Frozen"	""	""	"sample processing"	"1.01E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_GC_Rep1"	"GC_BS-A1"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
